04/20 07:24:32 PM | Lr:0.01 epoch: 30
04/20 07:24:34 PM | Epoch: [30][   0/1501]	Time  1.777 ( 1.777)	Data  1.573 ( 1.573)	Loss -1.5165 (-1.5165)
04/20 07:31:35 PM | Lr:0.01 epoch: 31
04/20 07:31:36 PM | Epoch: [31][   0/1501]	Time  1.749 ( 1.749)	Data  1.532 ( 1.532)	Loss -1.5299 (-1.5299)
04/20 07:38:37 PM | Lr:0.01 epoch: 32
04/20 07:38:39 PM | Epoch: [32][   0/1501]	Time  1.751 ( 1.751)	Data  1.548 ( 1.548)	Loss -1.4731 (-1.4731)
04/20 07:45:40 PM | Lr:0.01 epoch: 33
04/20 07:45:41 PM | Epoch: [33][   0/1501]	Time  1.740 ( 1.740)	Data  1.528 ( 1.528)	Loss -1.5922 (-1.5922)
04/20 07:52:43 PM | Lr:0.01 epoch: 34
04/20 07:52:45 PM | Epoch: [34][   0/1501]	Time  1.856 ( 1.856)	Data  1.638 ( 1.638)	Loss -1.0497 (-1.0497)
04/20 07:59:46 PM | Lr:0.01 epoch: 35
04/20 07:59:48 PM | Epoch: [35][   0/1501]	Time  1.796 ( 1.796)	Data  1.581 ( 1.581)	Loss -1.5409 (-1.5409)
04/20 08:06:49 PM | Lr:0.01 epoch: 36
04/20 08:06:50 PM | Epoch: [36][   0/1501]	Time  1.733 ( 1.733)	Data  1.529 ( 1.529)	Loss -1.3998 (-1.3998)
04/20 08:13:51 PM | Lr:0.01 epoch: 37
04/20 08:13:53 PM | Epoch: [37][   0/1501]	Time  1.750 ( 1.750)	Data  1.545 ( 1.545)	Loss -1.5708 (-1.5708)
04/20 08:20:54 PM | Lr:0.01 epoch: 38
04/20 08:20:56 PM | Epoch: [38][   0/1501]	Time  1.772 ( 1.772)	Data  1.553 ( 1.553)	Loss -1.6461 (-1.6461)
04/20 08:27:56 PM | Lr:0.01 epoch: 39
04/20 08:27:58 PM | Epoch: [39][   0/1501]	Time  1.768 ( 1.768)	Data  1.564 ( 1.564)	Loss -1.3524 (-1.3524)
04/20 08:34:59 PM | Lr:0.01 epoch: 40
04/20 08:35:00 PM | Epoch: [40][   0/1501]	Time  1.747 ( 1.747)	Data  1.528 ( 1.528)	Loss -1.5848 (-1.5848)
04/20 08:42:01 PM | Lr:0.01 epoch: 41
04/20 08:42:03 PM | Epoch: [41][   0/1501]	Time  1.719 ( 1.719)	Data  1.516 ( 1.516)	Loss -1.7078 (-1.7078)
04/20 08:49:04 PM | Lr:0.01 epoch: 42
04/20 08:49:05 PM | Epoch: [42][   0/1501]	Time  1.727 ( 1.727)	Data  1.512 ( 1.512)	Loss -1.5463 (-1.5463)
04/20 08:56:06 PM | Lr:0.01 epoch: 43
04/20 08:56:08 PM | Epoch: [43][   0/1501]	Time  1.768 ( 1.768)	Data  1.552 ( 1.552)	Loss -1.7161 (-1.7161)
04/20 09:03:09 PM | Lr:0.01 epoch: 44
04/20 09:03:11 PM | Epoch: [44][   0/1501]	Time  1.740 ( 1.740)	Data  1.526 ( 1.526)	Loss -1.6735 (-1.6735)
04/20 09:10:11 PM | Lr:0.01 epoch: 45
04/20 09:10:13 PM | Epoch: [45][   0/1501]	Time  1.741 ( 1.741)	Data  1.526 ( 1.526)	Loss -1.4298 (-1.4298)
04/20 09:17:14 PM | Lr:0.01 epoch: 46
04/20 09:17:16 PM | Epoch: [46][   0/1501]	Time  1.759 ( 1.759)	Data  1.543 ( 1.543)	Loss -1.6622 (-1.6622)
04/20 09:24:17 PM | Lr:0.01 epoch: 47
04/20 09:24:18 PM | Epoch: [47][   0/1501]	Time  1.758 ( 1.758)	Data  1.555 ( 1.555)	Loss -1.6285 (-1.6285)
04/20 09:31:19 PM | Lr:0.01 epoch: 48
04/20 09:31:21 PM | Epoch: [48][   0/1501]	Time  1.768 ( 1.768)	Data  1.564 ( 1.564)	Loss -1.6921 (-1.6921)
04/20 09:38:21 PM | Lr:0.01 epoch: 49
04/20 09:38:23 PM | Epoch: [49][   0/1501]	Time  1.689 ( 1.689)	Data  1.469 ( 1.469)	Loss -1.6324 (-1.6324)
04/20 09:45:24 PM | Lr:0.01 epoch: 50
04/20 09:45:26 PM | Epoch: [50][   0/1501]	Time  1.703 ( 1.703)	Data  1.500 ( 1.500)	Loss -1.7991 (-1.7991)
04/20 09:52:26 PM | Lr:0.01 epoch: 51
04/20 09:52:28 PM | Epoch: [51][   0/1501]	Time  1.778 ( 1.778)	Data  1.575 ( 1.575)	Loss -1.4871 (-1.4871)
04/20 09:59:29 PM | Lr:0.01 epoch: 52
04/20 09:59:31 PM | Epoch: [52][   0/1501]	Time  1.802 ( 1.802)	Data  1.587 ( 1.587)	Loss -1.6251 (-1.6251)
04/20 10:06:32 PM | Lr:0.01 epoch: 53
04/20 10:06:33 PM | Epoch: [53][   0/1501]	Time  1.611 ( 1.611)	Data  1.404 ( 1.404)	Loss -1.6117 (-1.6117)
04/20 10:13:34 PM | Lr:0.01 epoch: 54
04/20 10:13:36 PM | Epoch: [54][   0/1501]	Time  1.795 ( 1.795)	Data  1.586 ( 1.586)	Loss -1.6701 (-1.6701)
04/20 10:20:36 PM | Lr:0.01 epoch: 55
04/20 10:20:38 PM | Epoch: [55][   0/1501]	Time  1.716 ( 1.716)	Data  1.506 ( 1.506)	Loss -1.6028 (-1.6028)
04/20 10:27:39 PM | Lr:0.01 epoch: 56
04/20 10:27:41 PM | Epoch: [56][   0/1501]	Time  1.723 ( 1.723)	Data  1.517 ( 1.517)	Loss -1.5794 (-1.5794)
04/20 10:34:41 PM | Lr:0.01 epoch: 57
04/20 10:34:43 PM | Epoch: [57][   0/1501]	Time  1.732 ( 1.732)	Data  1.528 ( 1.528)	Loss -1.7973 (-1.7973)
04/20 10:41:44 PM | Lr:0.01 epoch: 58
04/20 10:41:45 PM | Epoch: [58][   0/1501]	Time  1.736 ( 1.736)	Data  1.535 ( 1.535)	Loss -1.5649 (-1.5649)
04/20 10:48:46 PM | Lr:0.01 epoch: 59
04/20 10:48:48 PM | Epoch: [59][   0/1501]	Time  1.784 ( 1.784)	Data  1.567 ( 1.567)	Loss -1.5510 (-1.5510)
04/20 10:55:49 PM | Lr:0.01 epoch: 60
04/20 10:55:50 PM | Epoch: [60][   0/1501]	Time  1.765 ( 1.765)	Data  1.548 ( 1.548)	Loss -1.6035 (-1.6035)
04/20 11:02:51 PM | Lr:0.01 epoch: 61
04/20 11:02:53 PM | Epoch: [61][   0/1501]	Time  1.745 ( 1.745)	Data  1.532 ( 1.532)	Loss -1.6345 (-1.6345)
04/20 11:09:54 PM | Lr:0.01 epoch: 62
04/20 11:09:56 PM | Epoch: [62][   0/1501]	Time  1.758 ( 1.758)	Data  1.532 ( 1.532)	Loss -1.7183 (-1.7183)
04/20 11:16:57 PM | Lr:0.01 epoch: 63
04/20 11:16:58 PM | Epoch: [63][   0/1501]	Time  1.781 ( 1.781)	Data  1.566 ( 1.566)	Loss -1.5434 (-1.5434)
04/20 11:23:59 PM | Lr:0.01 epoch: 64
04/20 11:24:01 PM | Epoch: [64][   0/1501]	Time  1.767 ( 1.767)	Data  1.551 ( 1.551)	Loss -1.5760 (-1.5760)
04/20 11:31:02 PM | Lr:0.01 epoch: 65
